store name,latitude,longitude,Address,city,state,checkins,Location Realness
Cornucopia,29.61167,-94.04297,8886 Thorne Lane ,Port Arthur,TX,3867,Real
The Corner Store,36.169693,-75.75765,435 Osseo Rd,Duck,NC,135,Real
Sweet Spot,36.95753,-122.01734,8409 North Rockledge Road ,Santa Cruz,CA,75,Real
Decorama Boutique,41.51297,-71.32314,3245 Thornton avenue,Newport,RI,5525,Real
One of a Kind Studio,26.871365,-82.31378,65 Rosewood St. ,Placida,FL,183,Real
Not Just Groceries,25.971457,-81.726715,Framingham Hwy,Marco Island,FL,243,Real
The Full Cart,25.789354,-80.18314,754 Oak St. ,Miami,FL,1335,Real
Dollar Savings Store,47.601265,-122.3381,Baltimore Rd,Seattle,WA,388,Real
Healthy Treats,38.84106,-76.53938,639 Middle River Avenue ,Galesville,MD,639,Real
Farm to Shelf,38.02516,-75.23328,New Rochelle driveway,Chincoteague,VA,308,Real
Spice Heaven,27.178757,-80.17324,8314 Bay St. ,Stuart,FL,278,Real
Authentic Shoppe,36.60403,-121.89241,Gurnee hwy,Monterey,CA,71,Real
Fun KnickKnacks,40.64144,-73.199455,8311 Newbridge St. ,Islip,NY,1458,Real
Handmade & Precious,41.3973,-70.45164,Royal Oak,Edgartown,MA,107,Real
Made with Love,42.03109,-70.194435,920 S. Cherry Drive ,Provincetown,MA,77,Real
The Mega Store,36.169525,-75.75766,Lancaster Rd,Duck,NC,774,Real
Plentiful Online,37.03596,-76.2896,831 Cardinal St. ,Hampton,VA,926,Real
The Ladies Space,40.754433,-73.95256,678 Colonial Heights,New York,NY,201,Real
Green Organica,44.10125,-69.10657,910 Wild Rose Dr. ,Rockland,ME,348,Closed
Wholesome,41.70477,-71.177246,87 Port Orange drive,Somerset,MA,195,Real
Sport Quest,48.285706,-122.63283,8991 Pilgrim Court ,Oak Harbor,WA,80,Real
Sport Everything,43.84259,-69.605736,Crown Point avenue,Boothbay,ME,106,Real
Sport Think,47.63246,-122.37931,763 Bellevue Lane ,Seattle,WA,547,Real
Sport Royale,33.344154,-118.32422,Silver Spring Rd,Avalon,CA,166,Real
Sport Total,30.393255,-86.51094,1 Pilgrim Drive ,Destin,FL,399,Real
Sport Dynasty,37.45472,-121.92842,76 Dearborn St.,San Jose,CA,322,Real
Sport Fit,41.165855,-72.21887,9378 SE. Stonybrook Dr. ,Southold,NY,198,Real
Sportology,42.053185,-70.14012,Shirley drive,Provincetown,MA,79,Real
