store name,latitude,longitude,Address,city,state,Location category,checkins,Location Realness,Moving Target,Potential Duplicate places,Correct Category
Central Mall,29.61167,-94.04297,3100 Highway 365,Port Arthur,TX,Shopping Malls,3867,Real,N,Y,Y
Candy & Corks,36.169693,-75.75765,1240 Duck Rd #105,Duck,NC,Candy Stores,135,Real,N,N,Y
Andy's End of Wharf Take-Cut,36.95753,-122.01734,Santa Cruz Municipal Wharf,Santa Cruz,CA,Seafood Restaurants,75,Real,N,N,Y
US Naval Station Newport,41.51297,-71.32314,Luce Ave,Newport,RI,Military Bases,5525,Real,N,N,Y
Palm Island Resort,26.871365,-82.31378,7092 Placida Rd,Placida,FL,Resorts,183,Real,N,N,Y
Riverside Club,25.971457,-81.726715,1085 Bald Eagle Dr,Marco Island,FL,Resorts,243,Real,N,N,Y
Biscayne Bay,25.789354,-80.18314,Biscayne Bay,Miami,FL,Other Great Outdoors,1335,Real,N,Y,Y
St. Charles Hotel Building,47.601265,-122.3381,85 S Washington St,Seattle,WA,Buildings,388,Real,N,N,Y
Thursdays,38.84106,-76.53938,4851 Riverside Dr,Galesville,MD,Seafood Restaurants,639,Real,N,N,Y
Chincoteague National Wildlife Refuge,38.02516,-75.23328,8231 Beach Rd,Chincoteague,VA,Other Great Outdoors,308,Real,N,Y,Y
Stuart Sandbar,27.178757,-80.17324,Indian River,Stuart,FL,Other Great Outdoors,278,Real,N,N,Y
Monterey Bay Aquarium Sailing,36.60403,-121.89241,Fishermans Wharf,Monterey,CA,Zoo Exhibits,71,Real,N,N,N
"Saltaire, NY",40.64144,-73.199455,Fire Island,Islip,NY,Other Great Outdoors,1458,Real,N,N,Y
Cape Poge Wildlife Refuge,41.3973,-70.45164,Dike Road,Edgartown,MA,Nature Preserves,107,Real,N,N,Y
Race Point Jetty,42.03109,-70.194435,"Provincetown, MA",Provincetown,MA,Scenic Lookouts,77,Real,N,N,Y
Coastal Cantina,36.169525,-75.75766,1236 Duck Rd.,Duck,NC,Mexican Restaurants,774,Real,N,N,Y
Buckroe Beach Fishing Pier,37.03596,-76.2896,2899 E Pembroke Ave,Hampton,VA,Fishing Spots,926,Real,N,N,Y
Sports Park Pool,40.754433,-73.95256,250 Main St,New York,NY,Pools,201,Real,N,N,Y
The Pearl Restaurant,44.10125,-69.10657,275 Main St,Rockland,ME,Bars,348,Closed,,,
Kuss Middle School,41.70477,-71.177246,52 Globe Mills Ave,Somerset,MA,Middle Schools,195,Real,N,N,Y
Oak Harbor Yacht Club,48.285706,-122.63283,1301 SE Catalina Dr,Oak Harbor,WA,Nightlife Spots,80,Real,N,N,Y
Cabbage Island Clambakes,43.84259,-69.605736,"Boothbay Harbor, ME 04538",Boothbay,ME,Seafood Restaurants,106,Real,N,N,Y
Elliott Bay Trail/Terminal 91 Bike Path - North End,47.63246,-122.37931,20th Ave W,Seattle,WA,Trails,547,Real,N,N,Y
Catalina Adventure Tours,33.344154,-118.32422,1 Cabrillo Mole,Avalon,CA,General Travel,166,Real,Y,,
